Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Unique viewers,Subscribers gained,Subscribers lost,Likes,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,0:00:20,75.81,0,6343,1555,107526,272,6326268,33261.3854,4788,10017488,5.49
lJ_t4-04vIU,Do you eat Appam everyday? B'coz its delicious!!#shorts #shortsfood#appam #southindianfood,"Sep 21, 2024",15,0:00:15,104.85,,1867,303,50144,68,2876998,11400.9359,1564,5893112,4.93
5XPm8BWaU2w,Alia Bhatt And Gal Gadot had this same craving to eat🤩🥪 #aliabhatt #galgadot #sandwich #shorts,"Nov 24, 2024",30,0:00:23,77.07,,1336,341,28682,45,1575327,10106.8591,995,1757274,7.8
lnGSJO9ewqI,Fast relief from Period Pain#beerbiceps #trs #periodpain #ayurveda #shorts,"Dec 13, 2024",34,0:00:21,61.9,,909,39,7710,4,476393,2780.039,870,38244,3.24
6JAk6ZDhaks,Benefits of eating Bajra #healthierecipes24 #shorts #bajraroti,"Jan 16, 2025",59,0:00:35,59.9,,634,8,3713,13,288780,2491.9118,626,442707,8.7
KOg4ZBO2aYs,"Parineeti or Raghav, who likes Paratha??#shorts #raghavchadha #aapkiadalat #parineetichopra","Dec 8, 2024",61,0:00:27,45.59,,90,10,474,1,49751,381.9328,80,29098,4.9
Nxim5_yApXc,Raj Thackeray's Most favourite Vada😋✨👌🏻 #sabudanavada #shorts #viralvideo #food #rajthackeray,"Nov 19, 2024",44,0:00:25,59.06,,64,0,354,1,39595,283.7245,64,7611,5.16
ZiIDnwPS24c,Megastar Chiranjeevi’s Veg Treat for Keerthy!#shorts #vegfood #southindianfood #shortsfeed,"Nov 25, 2024",35,0:00:27,78.93,,49,0,661,2,32369,244.2979,49,28915,2.29
nyItwEF_2bc,Benefits of eating Raw Banana💚#healthierecipes24 #rawbananarecipe #food,"Mar 13, 2025",64,0:00:46,72.95,,57,0,585,3,48674,426.208,57,196060,10.58
OdwuSPylSyg,Abs are made in the kitchen🏋🏻‍♂️👨🏻‍🍳#shorts #fitness #healthierecipes24 #bajraroti,"Jan 21, 2025",55,0:00:28,51.39,,42,3,156,0,25225,196.6493,39,4974,4.3
6wuXx2UMls4,Celebrities that love Bengali Puchka/Fuchka #healthierecipes24 #puchka#bollywood,"Mar 4, 2025",59,0:00:39,67.06,,20,1,631,4,23583,243.0377,19,15249,7.38
3Q5N9tXAqcM,Paan Banaraswala🔥🍃✨ #kbc #shorts #food #amitabhbachchan #paan,"Jun 24, 2024",35,0:00:28,81.35,,19,1,477,0,20186,158.1531,18,4586,3.23
Mku1DEZN4LM,Wamiqa Gabbi & Rajkumar Rao love maggi🍜 #healthierecipes24,"May 24, 2025",40,0:00:27,69.6,,21,0,257,1,34465,151.6504,21,7993,7.39
eAH4bcrqzCM,✨Bhaji with Jackie Shroff & Farah Khan✨#healthierecipes24 #pattokibhaji #food,"Oct 30, 2025",60,0:00:39,66.54,,17,0,476,0,30716,208.7622,17,18434,8.99
51m1H0JiCMI,Rodies Prince makes paratha♥️✨ #healthierecipes24 #paratha #yuvikachaudhary #princenarula,"Mar 24, 2025",60,0:00:34,57.33,,15,3,370,1,18411,169.1408,12,5992,4.31
eJusIuE6QNE,Homemade Cashews!#healthierecipes24 #why #food #cashew,"Mar 28, 2025",60,0:00:41,69.38,,26,4,569,9,19090,183.8177,22,5406,2
uYSLIR9GHgQ,Gud Ghee Roti😋✨#short #shortsyoutube #food #bollywood,"Jun 20, 2024",8,0:00:11,146.73,,17,0,86,0,15369,47.8433,17,6873,3.56
_YPraqTYbjw,Janvi Kapoor's Monsoon favourite🔥😋#shorts #janvikapoor #southfood monsoon special,"Jul 24, 2024",24,0:00:20,84.62,,9,1,245,0,12663,70.7515,8,5377,5.9
qw4Ylq93Zns,Aishwarys Rai shares memory of making paranthe #food#parantha #aishwaryaraibachchan,"Dec 4, 2024",43,0:00:18,42.16,,20,0,59,1,12293,61.3848,20,4599,4.76
