content_id,video_title,publish_date,duration_sec,avg_view_duration,avg_perct_viewed,subs_gained,subs_lost,likes,comments,views,watch_time_hrs,subscribers,impressions,ctr,conversion_rate,month_year,engagement_rate
lJ_t4-04vIU,Do you eat Appam everyday? B'coz its delicious!!#shorts #shortsfood#appam #southindianfood,2024-09-21,15.0,15.0,104.85,1867,303,50144,68,2876998,11400.9359,1564,5893112,4.93,0.0648940319040889,2024-09,1.75
5XPm8BWaU2w,Alia Bhatt And Gal Gadot had this same craving to eat🤩🥪 #aliabhatt #galgadot #sandwich #shorts,2024-11-24,30.0,23.0,77.07,1336,341,28682,45,1575327,10106.8591,995,1757274,7.8,0.0848077891129905,2024-11,1.82
lnGSJO9ewqI,Fast relief from Period Pain#beerbiceps #trs #periodpain #ayurveda #shorts,2024-12-13,34.0,21.0,61.9,909,39,7710,4,476393,2780.039,870,38244,3.24,0.1908088489965217,2024-12,1.62
6JAk6ZDhaks,Benefits of eating Bajra #healthierecipes24 #shorts #bajraroti,2025-01-16,59.0,35.0,59.9,634,8,3713,13,288780,2491.9118,626,442707,8.7,0.2195442897707597,2025-01,1.29
KOg4ZBO2aYs,"Parineeti or Raghav, who likes Paratha??#shorts #raghavchadha #aapkiadalat #parineetichopra",2024-12-08,61.0,27.0,45.59,90,10,474,1,49751,381.9328,80,29098,4.9,0.1809008864143434,2024-12,0.95
Nxim5_yApXc,Raj Thackeray's Most favourite Vada😋✨👌🏻 #sabudanavada #shorts #viralvideo #food #rajthackeray,2024-11-19,44.0,25.0,59.06,64,0,354,1,39595,283.7245,64,7611,5.16,0.1616365702740245,2024-11,0.9
ZiIDnwPS24c,Megastar Chiranjeevi’s Veg Treat for Keerthy!#shorts #vegfood #southindianfood #shortsfeed,2024-11-25,35.0,27.0,78.93,49,0,661,2,32369,244.2979,49,28915,2.29,0.1513794062220025,2024-11,2.05
nyItwEF_2bc,Benefits of eating Raw Banana💚#healthierecipes24 #rawbananarecipe #food,2025-03-13,64.0,46.0,72.95,57,0,585,3,48674,426.208,57,196060,10.58,0.1171056416156469,2025-03,1.21
OdwuSPylSyg,Abs are made in the kitchen🏋🏻‍♂️👨🏻‍🍳#shorts #fitness #healthierecipes24 #bajraroti,2025-01-21,55.0,28.0,51.39,42,3,156,0,25225,196.6493,39,4974,4.3,0.1665014866204162,2025-01,0.62
6wuXx2UMls4,Celebrities that love Bengali Puchka/Fuchka #healthierecipes24 #puchka#bollywood,2025-03-04,59.0,39.0,67.06,20,1,631,4,23583,243.0377,19,15249,7.38,0.0848068523936734,2025-03,2.69
3Q5N9tXAqcM,Paan Banaraswala🔥🍃✨ #kbc #shorts #food #amitabhbachchan #paan,2024-06-24,35.0,28.0,81.35,19,1,477,0,20186,158.1531,18,4586,3.23,0.0941246408401862,2024-06,2.36
Mku1DEZN4LM,Wamiqa Gabbi & Rajkumar Rao love maggi🍜 #healthierecipes24,2025-05-24,40.0,27.0,69.6,21,0,257,1,34465,151.6504,21,7993,7.39,0.0609313796605251,2025-05,0.75
eAH4bcrqzCM,✨Bhaji with Jackie Shroff & Farah Khan✨#healthierecipes24 #pattokibhaji #food,2025-10-30,60.0,39.0,66.54,17,0,476,0,30716,208.7622,17,18434,8.99,0.0553457481442896,2025-10,1.55
51m1H0JiCMI,Rodies Prince makes paratha♥️✨ #healthierecipes24 #paratha #yuvikachaudhary #princenarula,2025-03-24,60.0,34.0,57.33,15,3,370,1,18411,169.1408,12,5992,4.31,0.0814730324262669,2025-03,2.02
eJusIuE6QNE,Homemade Cashews!#healthierecipes24 #why #food #cashew,2025-03-28,60.0,41.0,69.38,26,4,569,9,19090,183.8177,22,5406,2.0,0.1361969617600838,2025-03,3.03
uYSLIR9GHgQ,Gud Ghee Roti😋✨#short #shortsyoutube #food #bollywood,2024-06-20,8.0,11.0,146.73,17,0,86,0,15369,47.8433,17,6873,3.56,0.1106122714555273,2024-06,0.56
_YPraqTYbjw,Janvi Kapoor's Monsoon favourite🔥😋#shorts #janvikapoor #southfood monsoon special,2024-07-24,24.0,20.0,84.62,9,1,245,0,12663,70.7515,8,5377,5.9,0.0710732054015636,2024-07,1.93
qw4Ylq93Zns,Aishwarys Rai shares memory of making paranthe #food#parantha #aishwaryaraibachchan,2024-12-04,43.0,18.0,42.16,20,0,59,1,12293,61.3848,20,4599,4.76,0.1626942162206133,2024-12,0.49
tZCxHieZE0s,Khushi Kapoor likes eating Appam with coconut milk ✨#healthierecipes24 #shorts #khushikapoor,2025-01-28,55.0,25.0,45.68,10,0,159,0,12174,83.838,10,10128,4.85,0.0821422704123542,2025-01,1.31
8z8QCuAjNwc,✨Ananya Pandey is Cheese Cheese person🧀#shorts#ananyapandey#dosa#ytshorts#healthierecipes24,2024-09-19,33.0,14.0,43.74,19,1,82,0,11202,44.1448,18,18208,2.59,0.1696125691840742,2024-09,0.73
GwgV861FMGM,Gym Coach Nitesh's workout tip#shorts#shortsfeed#shortsviral#workout@theniteshfitnessempire85,2024-07-07,20.0,23.0,118.45,30,3,762,3,12512,73.905,27,1645,2.67,0.239769820971867,2024-07,6.11
r08sjZqTggg,Vicky kaushal's fav Gud ki Lassi✨😋#shorts #vickykaushal #food #lassi #shortsfeed #trending #viral,2024-07-01,18.0,16.0,90.31,10,0,203,0,10742,47.9113,10,2803,5.67,0.0930925339787749,2024-07,1.89
C7lFlmbuRI0,Rajkumar Rao's Childhood favourite Cheeni ka paratha #paratha#sugar #shortsvideo#shortsviral#shorts,2024-07-05,31.0,25.0,83.46,8,1,121,2,10626,75.7022,7,1337,3.59,0.0752870318087709,2024-07,1.16
IZtfsOxMvRs,Alia Bhat's favourite recipe#healthierecipes24 #aliabhatt #shorts,2025-04-09,56.0,36.0,64.76,9,0,271,1,16891,108.6777,9,3024,2.74,0.0532828133325439,2025-04,1.61
xRYFUOyno8A,Sai Pallavi's Favourite Kerala Dish #pazhampori #keralafood #saipallavi #pazhamporirecipe#shorts,2024-11-06,21.0,16.0,76.4,8,0,82,0,11002,46.9191,8,26361,2.86,0.0727140519905471,2024-11,0.75
a2VziN6s9Kw,Kareena Kapoor's favourite Khichdi & achar😋🤌🏻#shorts #shortsfeed #shortsviral #food #bollywood,2024-07-06,34.0,24.0,71.24,14,0,125,0,10495,70.2764,14,2618,4.28,0.1333968556455455,2024-07,1.19
z8zAf2vmIOg,Ranbir Kapoor loves Bhajiya Pav😋✨ #bollywood #ranbirkapoor#food#pav #bajji #shorts #shortsfeed,2024-07-13,18.0,15.0,87.97,7,1,209,2,9961,43.3202,6,3281,3.35,0.0702740688685874,2024-07,2.12
LuIEesVTHX0,Janhavi's fav tadke wala dahi✨ #dahitadka #shortsviral #janhavikapoor,2024-08-22,19.0,18.0,96.31,8,4,381,0,9812,49.537,4,1886,4.4,0.0815328169588259,2024-08,3.88
 -l3YwAw5D6w,Simple Dal Chawal ✨🌼#rohitsharma rohit sharma #cricket #food #favoritefood #shortsfeed #shorts,2024-07-01,18.0,17.0,96.59,7,0,301,1,9505,45.7023,7,1107,2.53,0.0736454497632824,2024-07,3.18
k88p4_1mU_w,Curd rice✨🍚 #healthierecipes24 #curdrice #foodvlog #shorts #shortsviral #food Orry's fav curd rice,2024-06-19,19.0,16.0,87.97,3,0,128,1,9324,43.0661,3,1501,1.33,0.0321750321750321,2024-06,1.38
Xr-zBFxddug,R Madhavan's favourite Vada✨🔥#healthierecipes24 #rmadhavan #vada #shorts #food,2025-02-17,59.0,33.0,57.26,9,1,137,2,9069,84.7166,8,2367,4.69,0.0992391663910023,2025-02,1.53
xAPix_TMbG4,Nitin Gadkari's favorite dish! #nitingadkari #foodie #recipe #shorts #short #healthierecipes24,2024-08-07,35.0,27.0,78.56,9,0,130,0,8866,67.1606,9,5176,2.11,0.1015113918339724,2024-08,1.47
_HD_MMPJW3k,Keerthy Suresh loves only DOSA🥰🔥✨ #tamil #cinema #tamilstar #keerthysuresh #shorts,2024-11-16,42.0,23.0,55.94,15,1,156,0,8566,55.5968,14,4488,2.09,0.1751109035722624,2024-11,1.82
AzcZqkjgaAg,Ranveer Allahbadia tries khotte idli #beerbiceps #ranveerallahbadia #mysorecafe #shorts #food,2024-11-08,40.0,18.0,46.82,6,0,67,3,8873,45.2206,6,34986,4.55,0.0676208723092527,2024-11,0.79
QCV9_MOZ8F8,Janhavi Kapoor's loves Mawa parantha#shorts #janhavikapoor #curlytales #ytrecipe,2024-09-29,26.0,18.0,70.53,10,2,85,0,7937,39.7161,8,7854,4.43,0.1259921884843139,2024-09,1.07
N_kUQGFgMk4,Malaika Arora's Favorite Thai Curry and rice #thaicurry #malaikaarora #food #shorts,2024-12-22,39.0,16.0,41.85,7,2,59,0,7785,34.4451,5,7200,4.65,0.0899165061014772,2024-12,0.76
RgNZRHUqs_M,This is Virat Kohli's Comfort food✨ What's yours?😋 #shorts#viratkohli,2024-07-12,49.0,29.0,60.87,3,0,191,2,7655,63.2356,3,2978,6.21,0.039190071848465,2024-07,2.52
BA0xJ6uHN1o,Pani Puri is the winner🥇#panipuri #healthierecipes24 #chefsanjeevkapoor,2025-03-22,27.0,22.0,83.0,5,1,67,0,7838,47.4325,4,802,5.49,0.0637917836182699,2025-03,0.85
Tk9M2mihXdA,Actor Avneet Kaur Love Kacchi Kairi! #healthierecipes24 #avneetkaur #shorts,2025-04-13,36.0,23.0,64.94,5,1,55,0,14639,49.0118,4,13758,1.42,0.0341553384794043,2025-04,0.38
VSOuLAkVS-M,✨How to toast Sesame🤍 #sesame #seeds #tipsandtricks #food #howto,2024-03-19,40.0,29.0,74.15,10,1,92,3,10197,60.8611,9,49829,9.34,0.0980680592331077,2024-03,0.93
1qQ8Hn8n4sc,Tasty Instant idli|Idli History🍛#idli#healthierecipes24#shortsinstanttastyyummyfood vlog,2024-06-17,44.0,23.0,54.41,6,1,101,0,6629,43.8249,5,15950,0.8,0.0905113893498265,2024-06,1.52
SSsk9EFzPCc,Neha Kakkar's love for bread and jam✨🤩#nehakakkar #shorts #breadjam #indianidol,2024-11-26,20.0,15.0,78.36,11,0,51,0,6444,27.6795,11,4993,2.3,0.1707014276846679,2024-11,0.79
YOE5BSeMOIQ,Shruti Hassan's recipe of Thakkali thokku#healthierecipes24 #shrutihaasan #recipe #shorts,2025-08-16,60.0,30.0,51.55,3,1,58,0,10632,56.7116,2,7667,5.88,0.028216704288939,2025-08,0.55
bZP1lrXpZAo,Modi Ji's Millets Solution: Combatting Malnutrition Made Simple!✨#narendramodi #millets#shortsvideo,2024-08-08,61.0,35.0,58.65,8,0,175,2,8085,63.1416,8,43753,6.98,0.0989486703772418,2024-08,2.19
hAyOL6IUrog,✨🔥Legendary Rekha Ji on Kapil Show😍#dalfulka #dalroti #thegreatindiankapilshow #rekha #shorts,2024-12-10,23.0,16.0,69.81,6,0,37,0,5942,26.291,6,4310,2.92,0.1009761023224503,2024-12,0.62
jyGdokDEcmY,Actor R.Mahadevan has this nutritious breakfast✨ #bollywood #food#kanji#breakfast#nutrition,2024-07-14,32.0,14.0,46.7,3,0,39,0,5908,24.0765,3,2397,4.13,0.0507786052809749,2024-07,0.66
1Yv_64GIFXY,Kajol's favourite Malai rice✨🍚😋#food #malai #rice #kajol viral shorts shortsfeed food vlog #trending,2024-07-01,22.0,17.0,79.27,7,1,72,0,5850,27.8353,6,3140,6.88,0.1196581196581196,2024-07,1.23
_QMuL1ryNa8,ROTIZZA RECIPE🔥🍕✨#rotizza #neenagupta #kareenakapoorkhan #recipe #shorts,2024-11-22,61.0,31.0,51.34,4,0,88,1,5701,49.3981,4,7026,1.67,0.0701631292755657,2024-11,1.56
